infoSpeciesId,ifn,plotId,province,municipality,speciesId,scientificName,percentageOfSpecies,numberTreesHa,basalAreaM2Ha,volumeOverBarkM3Ha,volumeUnderBarkM3Ha,ageInYears,infoSpeciesIri,plotIri,speciesIri
"plot-40-1275-Species23","ifn2","40-1275","Segovia","Mozoncillo","Species23","Pinus pinea",,19.23,3.2233415,21.2051307,16.567544,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1275-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1275","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1275-Species26","ifn2","40-1275","Segovia","Mozoncillo","Species26","Pinus pinaster",,878.64,46.7167176,289.6165484,179.7465393,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1275-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1275","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1277-Species23","ifn2","40-1277","Segovia","Mozoncillo","Species23","Pinus pinea",,5.09,0.9044083,6.49933,5.1049563,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1277-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1277","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1277-Species26","ifn2","40-1277","Segovia","Mozoncillo","Species26","Pinus pinaster",,492.83,47.0677264,353.5495285,252.4544475,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1277-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1277","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1292-Species23","ifn2","40-1292","Segovia","Escarabajosa de Cabezas","Species23","Pinus pinea",,128.43,10.2915335,50.1207781,36.9263754,23,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1292-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1292","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1292-Species26","ifn2","40-1292","Segovia","Escarabajosa de Cabezas","Species26","Pinus pinaster",,477.45,18.8490669,86.390808,50.5433327,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1292-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1292","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1292-Species45","ifn2","40-1292","Segovia","Escarabajosa de Cabezas","Species45","Quercus ilex",,,,,,45,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1292-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1292","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
"plot-40-1431-Species23","ifn2","40-1431","Segovia","Martín Muñoz de las Posadas","Species23","Pinus pinea",,14.14,0.8160046,3.6784774,2.6007278,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1431-Species23","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1431","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species23"
"plot-40-1431-Species26","ifn2","40-1431","Segovia","Martín Muñoz de las Posadas","Species26","Pinus pinaster",,493.14,29.7521638,149.0458745,91.7084953,26,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1431-Species26","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1431","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species26"
"plot-40-1431-Species45","ifn2","40-1431","Segovia","Martín Muñoz de las Posadas","Species45","Quercus ilex",,,,,,,"https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/infoSpecies/plot-40-1431-Species45","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-40-1431","https://datos.iepnb.es/kos/sector-publico/medio-ambiente/ifn2/taxon/Species45"
