plotId,ifn,province,municipality,latWGS84,lngWGS84,dataCapture,plotifn3Id,plotIri,plotifn3Iri
"47-345","ifn2","Valladolid","Viana de Cega",41.509076,-4.774666,1992,"47-345-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-345","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-345-A-1"
"47-347","ifn2","Valladolid","Viana de Cega",41.509443,-4.750711,1992,"47-347-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-347","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-347-A-1"
"47-351","ifn2","Valladolid","Pedraja de Portillo, La",41.510163,-4.702801,1992,"47-351-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-351","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-351-A-1"
"47-352","ifn2","Valladolid","Pedraja de Portillo, La",41.51034,-4.690823,1992,"47-352-A-3C","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-352","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-352-A-3C"
"47-356","ifn2","Valladolid","Portillo",41.511874,-4.583017,1992,"47-356-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-356","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-356-A-1"
"47-364","ifn2","Valladolid","Pedraja de Portillo, La",41.500622,-4.738493,1992,"47-364-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-364","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-364-A-1"
"47-365","ifn2","Valladolid","Pedraja de Portillo, La",41.500802,-4.726517,1992,"47-365-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-365","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-365-A-1"
"47-368","ifn2","Valladolid","Pedraja de Portillo, La",41.501336,-4.690589,1992,"47-368-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-368","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-368-A-1"
"47-372","ifn2","Valladolid","Portillo",41.503359,-4.546866,1992,"47-372-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-372","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-372-A-1"
"47-373","ifn2","Valladolid","Portillo",41.50352,-4.534888,1992,"47-373-A-1","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn2/plot/plot-47-373","https://datos.iepnb.es/recurso/sector-publico/medio-ambiente/ifn3/plot/plot-47-373-A-1"
